First process instance # in stats,1
Last process instance # in stats,5000

Resource utilization
Resource,Utilization %
Funcionario,QBP_DEFAULT_RESOURCE,33
Sistema,qbp_5700a0db-f1f0-2a1b-93e1-fc3b6bb4285b,0
Responsable de crédito,qbp_df4feaa3-2e18-23d3-4987-bbda290d11dc,39

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Assess application,Process_18hpwzz.Activity_1nfq314,1173.1995840470202,0.228,11051.807,6986403.523000005,1.781170612898922,0.0,1139.220999956131,10606.87099981308,4236.574307304786,0.0,230400.0,2.52288E7,16.269700186584586,0.0031666666666666666,153.49731944444446,96886.06461111121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5955
Check credit history,Process_18hpwzz.Activity_1n75cv2,599.9218496000008,74.388,1051.94,2999609.248000004,0.0,0.0,0.0,0.0,5782.32,0.0,230400.0,2.89116E7,4.166123955555566,0.5165833333333334,7.305138888888889,20830.61977777783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000
Check income sources,Process_18hpwzz.Activity_0yjj88l,1199.040577399998,177.0,2108.361,5995202.88699999,0.0,0.0,0.0,0.0,5805.36,0.0,230400.0,2.90268E7,8.326670676388884,1.2291666666666667,14.641395833333332,41633.35338194442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000
Credit application processed,Process_18hpwzz.Event_1cc0mx9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000
Credit application received,Process_18hpwzz.StartEvent_0zk9m2i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000
GATEWAY 12 XOR,Process_18hpwzz.Gateway_0zy6g0x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1182
GATEWAY 13 XOR,Process_18hpwzz.Gateway_1wlyk3l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000
GATEWAY 2 AND,Process_18hpwzz.Gateway_0liot02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000
GATEWAY 5 AND,Process_18hpwzz.Gateway_0y46v7d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000
